Plate ID	Hour	Min	Second	Travel Orientation	LaneID
JRT2982	7	15	49	2	3
JR96E68	7	15	50	4	2
JR9A979	7	15	51	2	2
JGPG5875	7	15	52	4	3
wp	7	15	52	2	1
JGQB5579	7	15	53	4	2
JR4Z909	7	15	54	4	3
JRYD411	7	15	54	2	2
JH11952	7	15	54	2	1
JGAC9380	7	15	54	4	1
wp	7	15	54	2	3
wp	7	15	57	4	2
JR92N57	7	15	58	4	3
wp	7	15	58	2	3
wp	7	15	59	2	1
JRQ3657	7	16	0	4	3
JR2B200	7	16	1	4	3
JR7733H	7	16	2	4	2
JRUK216	7	16	3	4	3
JM1Z136	7	16	5	4	3
JRYK396	7	16	6	4	3
wp	7	16	7	1	1
JRYC102	7	16	8	4	1
JP3J599	7	16	8	4	3
JR8J271	7	16	15	4	1
JRGP313	7	16	17	4	1
JGYA521	7	16	22	4	1
JR8753P	7	16	24	4	1
wp	7	16	29	2	1
wp	7	16	31	2	1
JR2551B	7	16	38	3	1
JREM738	7	16	38	3	3
JR68B62	7	16	39	1	2
JRT8762	7	16	40	3	2
JGFSX772	7	16	42	3	3
wp	7	16	42	1	3
JRZL673	7	16	44	3	3
JR63773	7	16	44	1	2
JR85215	7	16	44	3	1
wp	7	16	44	1	1
wp	7	16	44	3	2
wp	7	16	46	3	2
JR69035	7	16	47	1	3
JFLR792	7	16	47	1	2
JRSB802	7	16	47	3	2
wp	7	16	47	3	3
JR69950	7	16	48	3	3
wp	7	16	49	1	2
JR7L836	7	16	50	3	2
JRWV588	7	16	52	1	2
JR62926	7	16	52	1	3
JR9962A	7	16	52	3	3
JGN6V246	7	16	54	1	2
JRYC967	7	16	55	1	2
wp	7	16	55	1	3
JR0203G	7	16	56	3	2
JR84297	7	16	57	3	3
wp	7	16	58	1	1
JGN3N449	7	16	58	1	2
wp	7	16	58	1	3
JR9J513	7	16	59	3	2
wp	7	16	59	3	3
JGN59P66	7	17	0	1	1
wp	7	17	0	1	3
JRT2881	7	17	1	3	2
